Comment,Label,Movie Title,Genre,Preference,Total Neutral,3000,Total Dislikes,3000,Total Likes,3000,Dataset Size,9000
"মুভির ট্রেলার দেখে ভালোই লেগেছে, তবে কিছু কিছু জায়গায় আরও ভালো করা যেত।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"কিছু দৃশ্য খুব ভালো ছিল, কিন্তু চরিত্রগুলোর মধ্যে কিছুটা দুর্বলতা অনুভব করলাম।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"অভিনয় মোটামুটি ভালো, তবে প্রডাকশন ভীষণ ভালো হতে পারতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"গল্পটা ঠিকঠাক, তবে কিছু জায়গায় লম্বা মনে হয়েছে।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"সুরের সাথে সাথে দৃশ্যগুলোও ভালো লেগেছে, তবে কিছু জায়গায় একটু আরেকটু উন্নতির সম্ভাবনা ছিল।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"সিনেমার প্রডাকশন কোয়ালিটি ভালো, কিন্তু আরও একটু ডিটেইলস থাকতে পারতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"চিরঞ্জীব মুজিবের চরিত্রে অভিনয় অনেকটাই ভালো, তবে কিছু স্কিনশট ভালোভাবে মেলানো হয়নি।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
সিনেমায় কিছু সিকোয়েন্স একটু ক্লিশে লাগছিল।,2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"সব মিলিয়ে মোটামুটি ছিল, কিন্তু কিছু জায়গায় গল্প আরও আকর্ষণীয় হতে পারতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"প্রডাকশন ভালো ছিল, তবে চরিত্রদের মধ্যে কিছু দুর্বলতা দেখা গেছে।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"কিছু দৃশ্য একেবারে মুগ্ধ করলো, তবে কিছু অংশে দুর্বলতা দেখলাম।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"মুভির গল্প ও প্রডাকশন ঠিকঠাক, তবে একটু আরও শক্তিশালী অভিনয় আশা করছিলাম।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"মুভির প্লটটি অনেক ভালো, কিন্তু আরও সাবলীলভাবে উপস্থাপন করা যেতে পারতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"মুভির ট্রেলার দেখে ভালোই লেগেছে, তবে সিনেমা পুরোটা দেখতে গেলে আরও বেশি কিছু আশা ছিল।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"অভিনয় মোটামুটি, কিন্তু কিছু জায়গায় ক্যারেক্টারগুলো আরও জীবন্ত হতে পারতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"সিনেমার ট্রেলার বেশ ভালো, কিন্তু বাস্তব ইতিহাসের সাথে আরও মানানসই হতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"কিছু জায়গায় সিনক্রোনাইজেশন ঠিক ছিল না, তবে সিনেমার গল্প ভালো ছিল।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"মুভির কিছু দৃশ্য সত্যিই ভালো ছিল, কিন্তু গল্পের গতিতে আরও শক্তি থাকতে পারতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"সিনেমায় ভালো কিছু আইডিয়া ছিল, তবে সেগুলো পুরোপুরি বাস্তবে রূপান্তরিত হয়নি।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"প্রডাকশন কোয়ালিটি অনেক ভালো ছিল, কিন্তু কিছু জায়গায় ডিজাইন আরও উন্নত হতে পারতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"সিনেমার এক্সপ্রেশন ভালো ছিল, তবে আরও কিছু দৃশ্য সংক্ষেপিত হতে পারতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"চিরঞ্জীব মুজিবের চরিত্রটি দুর্দান্ত, তবে কিছু অংশে আরও গভীরতা প্রয়োজন ছিল।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"সিনেমার ট্রেলার দুর্দান্ত, কিন্তু কিছু দৃশ্যে আরও পরিপূর্ণতা প্রয়োজন ছিল।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"সিনেমার চরিত্রগুলো ভালোভাবে ফুটে উঠেছে, তবে কিছু জায়গায় গল্প আরও শক্তিশালী হতে পারতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"চিরঞ্জীব মুজিবের জীবনের কিছু মুহূর্ত খুব ভালো উপস্থাপন করা হয়েছে, তবে কিছুটা ক্লিশে মনে হয়েছে।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"সিনেমার কিছু দৃশ্য খুব সুন্দর ছিল, তবে অভিনয়ে আরও সাবলীলতা আসলে আরও ভালো হতো।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"মুভির প্লট ঠিক ছিল, তবে আরও কার্যকরী টান টান সাসপেন্স দেখতে চেয়েছিলাম।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"চরিত্রের মধ্যে কিছু দুর্বলতা ছিল, তবে মোটামুটি ভালো উপস্থাপনা ছিল।",2,Chironjeeb Mujib,Drama,Dislike,,,,,,,,
"আমি এই সিনেমাটাকে ১০ এ ১০ দেবো। কারণ, বাংলাদেশের চলচ্চিত্র শিল্পে এর মতো একটি কাজ আগে কখনও দেখা যায়নি। চঞ্চল চৌধুরীর মতো অসাধারণ একজন অভিনেতা ছাড়া এই ধরনের চরিত্রকে কেউ এতটা নিখুঁতভাবে তুলে ধরতে পারতেন বলে আমি মনে করি না।",1,Aynabaji,Thriller ,Like,,,,,,,,
এটার রিমেকেও হয়েছে!!!তাও তেলেগু!! নিঃসন্দেহে আমাদ‌ের জন্য গর্বের বিষয়,1,Aynabaji,Thriller ,Like,,,,,,,,
"চঞ্চল চৌধুরীর যা অভিনয় 👌👌
পিউর মাস্টারপিস ",1,Aynabaji,Thriller ,Like,,,,,,,,
আয়নাবাজি রিমেক মুভি।,0,Aynabaji,Thriller ,Dislike,,,,,,,,
"ব্যবসাসফল না
ডিরেক্টর নিজেই বলেছেন",0,Aynabaji,Thriller ,Dislike,,,,,,,,
"মুভিটা ১০০% মাস্টারপিস।
যার তুলনা নাই",1,Aynabaji,Thriller ,Like,,,,,,,,
জন্রা লিখছেন Mystery / Crime আর লেখায় আবার বলতেছেন অপরাধমূলক থ্রিলার সিনেমা।,1,Aynabaji,Thriller ,Like,,,,,,,,
বন্ধুদের নিয়ে প্রথম হলে গিয়েছিলাম। মধুর স্মৃতি,1,Aynabaji,Thriller ,Like,,,,,,,,
বাংলাদেশের কিছু পছন্দের মুভিগুলোর মধ্যে এটা অন্যতম,1,Aynabaji,Thriller ,Like,,,,,,,,
"আমার কাছে খুব একটা ভালো লাগে নাই😥😥
জানিনা কেন¡!!!",0,Aynabaji,Thriller ,Dislike,,,,,,,,
"যক্ষের ধন শুধু সারাজীবন শুনেছিই। এই মুভির ডিরেক্টর বা প্রডিউসার যার রাইট আছে তিনি সেটা বাস্তবে দেখাইলেন। সেই সিনেমা হলে যেয়ে দেখেছি, আবারও যে দেখব তার কোন উপায় রাখে নাই। কয়েক বছর পেরিয়ে গেলেও এরা মাস্টারপ্রিন্ট রিলিজই করে নাই!
অবস্থা এমন যে এই মুভি এরা আবার রিরিলিজ করবে। 😑",1,Aynabaji,Thriller ,Like,,,,,,,,
"আমার দেখা বাংলার এ যুগের সেরা মুভি এটি",1,Aynabaji,Thriller ,Like,,,,,,,,
"ওই সিনেমাটা কী ছিল, এক কথায় অবিশ্বাস্য! পুরোপুরি মাইন্ড ব্লোয়িং। সিনেমার প্রতিটি দৃশ্য, সংলাপ, এবং অভিনয় একেবারে অন্য লেভেলে ছিল।",1,Aynabaji,Thriller ,Like,,,,,,,,
"মনে রাখার মতো একটা সিনেমা ছিল এটি—অসাধারণ এক অভিজ্ঞতা! সিনেমার গল্প, অভিনয়, আর চিত্রায়ণ সবকিছুই দর্শকদের মুগ্ধ করেছে।",1,Aynabaji,Thriller ,Like,,,,,,,,
পছন্দের মুভি।,1,Aynabaji,Thriller ,Like,,,,,,,,
প্রিয় বাংলা সিনেমার মধ্যে একটা,1,Aynabaji,Thriller ,Like,,,,,,,,
"সবার জন্য সব সত্যি
আমার জন্য অভিনয়",1,Aynabaji,Thriller ,Like,,,,,,,,
"স্কিপ খান, মারুফ, বাপ্পি, জায়েদ খান ঐক্যজোটের পক্ষ থেকে নিন্দা জ্ঞাপন করছি।",0,Aynabaji,Thriller ,Dislike,,,,,,,,
"মুভি টা কিন্তু ব্যাবসা সফল হয় নাই,অভিতাভ রেজা নিজেই এক ইন্টারভিউ তে বলছিলো,আয়নাবাজি করতে গিয়ে আমি শেষ হয়ে গেছি।",0,Aynabaji,Thriller ,Dislike,,,,,,,,
"""না বুঝি দুনিয়া আর না বুঝি তোমাই""
সেরা একটা গান❤ ছিল আছে আর থাকবে",1,Aynabaji,Thriller ,Like,,,,,,,,
আর ২ টা রেটিং পেলেই ওভারররটেড শশাংক কে লাথি দিয়ে ১ হত আয়নাবাজি।,0,Aynabaji,Thriller ,Dislike,,,,,,,,
"হলে গিয়ে ৩ বার দেখছি এইটা!
মাস্টারপিস! ",1,Aynabaji,Thriller ,Like,,,,,,,,
"বুঝলাম না , 4 বছর পরে কিসের spoiler এলার্ট?
আয়নাবাজি যারা ১৬ তে দেখে নাই, ২০২০ পর্যন্ত ওয়েট করতেসে সোশ্যাল মিডিয়ায় তারা যাতে spoiler যাতে না পায় এই ডর?
না এখন চার বছরেও যে দেখে নাই সে spoiler পাইলেই কি না পাইলেই কি?
আর কত বছর তাদের জন্য কাহিনী ""ইন্টাক্ট"" রাখতে হবে?",0,Aynabaji,Thriller ,Dislike,,,,,,,,
ই মুভি দেখতে গিয়ে আমার জুতা ছিড়ছে কিন্তু পয়সা উসুল এই রকম মুভি দেখে,1,Aynabaji,Thriller ,Like,,,,,,,,
নকল করা মুভি নিয়ে এতো কি বলার আছে।,0,Aynabaji,Thriller ,Dislike,,,,,,,,
"অমিতাভ রেজার ভাষ্যমতে এই সিনেমা তাকে দেউলিয়া করে দিয়েছে। ব্যাপক ব্যবসাসফল হলেও টাকা যায়নি প্রযোজক পরিচালকের পকেটে।
এর পরে তিনি আর সিনেমা বানানোর সাহসই পাননি বহুদিন।
এই রকম সিন্ডিকেট থাকলে ভাল ছবি হবেনা।",0,Aynabaji,Thriller ,Dislike,,,,,,,,
"প্রথমদিন প্রথম শো দেখেছিলাম। এটার রিমেক হইসে! জানতামই না!!!
",0,Aynabaji,Thriller ,Dislike,,,,,,,,
"কোরিয়ান মুভি *Tumbleweed* দেখে দেখতে পারেন। অনেকের মতে, *আয়নাবাজি* সিনেমাটি কিছুটা এই কোরিয়ান সিনেমা থেকে অনুপ্রাণিত, এমনকি কিছু জায়গায় অনেকটাই মিল দেখা যায়। তবে, *আয়নাবাজি* আমাদের নিজস্ব সংস্কৃতি এবং প্রেক্ষাপটে দারুণভাবে উপস্থাপন করেছে, যা একে আলাদা করে তুলেছে।",0,Aynabaji,Thriller ,Dislike,,,,,,,,
"কিন্তু দুঃখের বিষয় হলো এতো ভালো মুভি হয়েও পাইরেসির কারণে ব্যবসা সফল মুভি হয় নি। দুই কোটি টাকা ব্যয় করার পর, দুই বছর শেষে লাভের খাতায় যোগ হয় মাত্র ৬ লক্ষ টাকা। ভাবা যায়?",1,Aynabaji,Thriller ,Like,,,,,,,,
"সিনেমার নাম দিয়া টেলিফিল্ম দেখাইছে।",0,Aynabaji,Thriller ,Dislike,,,,,,,,
